Greeting,Dear  
Greeting,Hello  
Greeting,Hi 
Greeting,
Greeting,
Greeting,
Greeting,
Greeting,
Greeting,
Greeting,
Greeting,
Greeting,
Greeting,
Intro ,I hope this letter finds you well.
Intro ,Thank you for taking the time to read this letter.
Intro ,Thank you for your consideration.
Intro ,Thank you for your dedication.
Intro ,I am writing as a concerned citizen.
Intro ,I am writing because this is important to me.
Intro ,I am writing for the sake of my children.
Intro ,I am writing for the future of our great nation.
Intro ,I believe in civic duty.
Intro ,I believe in sensible legislation.
Intro ,I am writing this letter because I trust you listen to your constituents concerns.  
Intro ,Thank you for the work you do.
Intro ,Thank you for your dedication.
Intro ,"I rarely write to congress, but I am concerned that this issue is not getting enough attention."
Intro ,"I rarely write, but I am frustrated by the lack of progress on this issue. "
Intro ,I am worried that the environment is not getting enough attention from Congress.
Intro ,I am concerned the environment is not getting the attention it deserves.
Intro ,The environment is not getting the attention it deserves from Congress.
Intro ,Congress needs to pay more attention to the environment we depend on.
Intro ,Congress needs to pay more attention to the environment.
WrapupOptionA,"I anticipate your response.
"
WrapupOptionA,"I await your reply.
"
WrapupOptionA,I await your response.
WrapupOptionA,"I eagerly anticipate your response.
"
WrapupOptionA,I hope to hear from you soon.
WrapupOptionA,I hope to receive a response back from you.
WrapupOptionA,I hope to receive a response from you.
WrapupOptionA,I hope to receive a response to this letter.
WrapupOptionA,I hope to receive a response to this note.
WrapupOptionA,I hope you will respond.
WrapupOptionA,I look forward to reading your response. 
WrapupOptionA,I look forwarding to hearing back from you.
WrapupOptionA,I would appreciate a thoughtful response to my letter.
WrapupOptionA,I'd like to hear your own thoughts on this topic.
WrapupOptionA,I'd love to hear what you think.
WrapupOptionA,I'll appreciate your thoughful response to this letter.
WrapupOptionA,I'm looking forward to receiving your response.
WrapupOptionA,Thanks in advance for your response.
WrapupOptionA,Thanks in advance for your thoughful response to this letter.
WrapupOptionA,"Your response is genuinely anticipated.
"
WrapupOptionA,I anticipate receiving a response back from you.
WrapupOptionA,I anticipate receiving a response from you.
WrapupOptionA,I anticipate receiving a response to this letter
WrapupOptionA,I anticipate receiving a response to this note.
WrapupOptionA,I await your reply.
WrapupOptionA,"I eagerly anticipate your reply.
"
WrapupOptionA,I hope you will reply to this letter.
WrapupOptionA,I hope to receive a reply back from you.
WrapupOptionA,I hope to receive a reply from you.
WrapupOptionA,I hope to receive a reply to this letter.
WrapupOptionA,I hope to receive a reply to this note.
WrapupOptionA,I hope you will reply.
WrapupOptionA,I look forward to reading your reply. 
WrapupOptionA,I would appreciate a thoughtful reply to my letter.
WrapupOptionA,I'll appreciate your thoughful reply to this letter.
WrapupOptionA,I'm looking forward to receiving your reply.
WrapupOptionA,Thanks in advance for your reply.
WrapupOptionA,Thanks in advance for your thoughful reply to this letter.
WrapupOptionA,"Your reply is genuinely anticipated.
"
WrapupOptionA,I anticipate receiving a reply back from you.
WrapupOptionA,I anticipate receiving a reply from you.
WrapupOptionA,I anticipate receiving a reply to this letter.
WrapupOptionA,I anticipate receiving a reply to this note.
WrapupOptionB,This is my address
WrapupOptionB,Here is my address
WrapupOptionB,My addresss is as follows
WrapupOptionB,You can respond to my address
WrapupOptionB,You can reply here
WrapupOptionB,My address is
WrapupOptionB,Please reply to me at this address
WrapupOptionB,Please reply to
WrapupOptionB,Please reply to this address
WrapupOptionB,You can reply to me at this address
WrapupOptionB,You can reply to
WrapupOptionB,You can reply to this address
WrapupOptionB,Please respond to me at this address
WrapupOptionB,Please respond to
WrapupOptionB,Please respond to this address
WrapupOptionB,You can respond to me at this address
WrapupOptionB,You can respond to
WrapupOptionB,You can respond to this address
WrapupOptionB,Here is the address you can respond to 
WrapupOptionB,You can reach me at 
WrapupOptionB,I can be reached at 
WrapupOptionB,You can write to me at 
WrapupOptionB,You can reach me at this address 
WrapupOptionB,I can be reached at this address 
WrapupOptionB,You can write to me at 
WrapupOptionB,You can reach me here 
WrapupOptionB,I can be reached here 
WrapupOptionB,You'll find my address below:
WrapupOptionB,You'll find my address here:
WrapupOptionB,I've provided my address below for your convenience.
WrapupOptionB,You'll see my address below.
WrapupOptionB,See my address below.
WrapupOptionB,My address is below.
Closing,"Best,"
Closing,"Thank you,"
Closing,"Thanks,"
Closing,"Sincerely,"
Closing,"Respectfully,"
Closing,"Respectfully yours,"
Closing,"Cordially,"
Closing,"Cordially yours,"
Closing,"

Respectfully,
"
Closing,"

Respectfully yours,
"
Closing,"Best,"
Closing,"Thank you,"
Closing,"Thanks,"
Closing,"Sincerely,"
Closing,"Best,"
Closing,"Thank you,"
Closing,"Thanks,"
Closing,"Sincerely,"
Closing,"Best,"
Closing,"Thank you,"
Closing,"Thanks,"
Closing,"Sincerely,"
